Company,Sector,HQ Country,Japan Entity (KK),HC Japan,Yrs in JP,Site
Meridian Capital Partners K.K.,Private Equity,USA,TRUE,45,12,https://meridian-capital-partners-k-k.example.com
NordicTech Solutions Japan,Technology,Sweden,TRUE,120,8,https://nordictech-solutions-japan.example.com
Blackfriar Consulting Japan,Management Consulting,UK,TRUE,60,15,https://blackfriar-consulting-japan.example.com
Vantage Pharma K.K.,Pharmaceuticals,Switzerland,TRUE,200,20,https://vantage-pharma-k-k.example.com
"Sterling Global Bank, Tokyo Branch",Banking,USA,FALSE,300,25,https://sterling-global-bank-tokyo-branch.example.com
Orion Logistics Japan,Logistics,Netherlands,TRUE,80,6,https://orion-logistics-japan.example.com
Halcyon Insurance K.K.,Insurance,Germany,TRUE,150,18,https://halcyon-insurance-k-k.example.com
Redwood Software Japan,Technology,USA,TRUE,35,4,https://redwood-software-japan.example.com
Ashford Luxury Group Japan,Retail,France,TRUE,90,10,https://ashford-luxury-group-japan.example.com
Continental Materials K.K.,Manufacturing,Germany,TRUE,250,22,https://continental-materials-k-k.example.com
